                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.9867,                  1.568,                 2.0293,                0.79324,                      1,                0.96167,                 0.3857,                 2.3603,                  2.524,                 1.9056,               0.006535,               0.006535,               0.006535
                     37,                 2.1362,                 1.6989,                 2.1164,                0.80969,                      1,                0.92833,                0.40348,                 2.2399,                 1.5815,                 1.6948,               0.006436,               0.006436,               0.006436
                     38,                  1.971,                 1.6105,                 1.9241,                      1,                0.94947,                  0.995,                0.33996,                 2.3808,                 1.9296,                 1.7838,               0.006337,               0.006337,               0.006337
                     39,                 1.9415,                 1.5993,                 2.0202,                      1,                0.96663,                  0.995,                0.53607,                 2.0002,                 1.3692,                  1.654,               0.006238,               0.006238,               0.006238
                     40,                 1.9518,                 1.5483,                 2.0678,                 0.6145,                      1,                0.78667,                0.37308,                 2.1897,                 1.3158,                 1.8722,               0.006139,               0.006139,               0.006139
                     41,                 1.9204,                 1.5718,                 2.0707,                0.95202,                      1,                  0.995,                0.54657,                  1.889,                 1.5222,                 1.5221,                0.00604,                0.00604,                0.00604
                     42,                 1.8319,                 1.4713,                 1.9277,                 0.5502,                      1,                0.73468,                0.32923,                 2.2306,                 2.4175,                 1.7099,               0.005941,               0.005941,               0.005941
                     43,                 1.8854,                 1.3427,                 1.8805,                0.81187,                      1,                0.92833,                0.50639,                 1.9245,                 1.7591,                  1.466,               0.005842,               0.005842,               0.005842
                     44,                 1.7914,                 1.4257,                 1.7943,                0.86325,                      1,                  0.995,                  0.525,                   1.85,                 2.6615,                 1.4862,               0.005743,               0.005743,               0.005743
                     45,                 1.8836,                 1.4929,                 1.8536,                0.97154,                      1,                  0.995,                0.53581,                 1.5954,                 1.5235,                 1.4026,               0.005644,               0.005644,               0.005644
                     46,                 1.6975,                 1.2863,                 1.7806,                0.97624,                      1,                  0.995,                0.56594,                 1.4881,                  1.665,                 1.3749,               0.005545,               0.005545,               0.005545
                     47,                  1.727,                 1.3685,                 1.7129,                0.95288,                      1,                  0.995,                0.55389,                 1.5705,                  1.857,                 1.4755,               0.005446,               0.005446,               0.005446
