                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5982,                 4.9918,                 4.1502,                0.30684,                0.29422,                0.17437,                0.05917,                 2.3158,                 19.455,                 2.3748,               0.070156,               0.003316,               0.003316
                      1,                 2.1049,                 1.6045,                 1.8001,                0.69761,                0.63778,                0.63866,                0.24062,                 1.7512,                 5.6996,                  1.339,               0.037962,               0.004455,               0.004455
                      2,                 1.5454,                 1.0511,                 1.2952,                0.56354,                0.51689,                0.52385,                0.30515,                 1.2856,                 41.188,                 1.1056,              0.0035677,              0.0033941,              0.0033941
