                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.75,                 4.7305,                 1.2605,                0.00333,                      1,                0.00525,                0.00378,                0.84306,                 4.2496,                0.81866,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.2071,                 4.1762,                 1.0089,                0.00333,                      1,                 0.0076,                0.00579,                0.45708,                  4.154,                0.78496,               0.088249,              0.0012485,              0.0012485
                      2,                0.88198,                 3.5307,                0.90175,                0.00333,                      1,                0.02353,                0.01616,                 0.6013,                 3.9468,                0.77771,               0.081842,              0.0018416,              0.0018416
                      3,                0.84047,                 2.5653,                0.96134,                0.00333,                      1,                 0.0173,                0.01017,                0.60106,                 3.8255,                0.78873,               0.075379,              0.0023792,              0.0023792
                      4,                0.75485,                 1.8872,                0.85924,                0.00333,                      1,                0.20169,                0.18115,                0.70748,                  3.717,                 0.7963,               0.068861,              0.0028614,              0.0028614
                      5,                0.79186,                 1.5897,                0.93082,                0.00333,                      1,                0.40093,                 0.3598,                0.91558,                 3.6176,                0.81638,               0.062288,              0.0032882,              0.0032882
                      6,                 0.8088,                 1.3473,                0.94262,                0.00333,                      1,                0.22471,                0.20133,                0.97716,                 3.4843,                0.85986,                0.05566,              0.0036595,              0.0036595
                      7,                0.75068,                 1.2839,                0.89185,                0.00333,                      1,                0.42315,                0.37438,                 1.0387,                 3.4178,                0.86384,               0.048975,              0.0039754,              0.0039754
                      8,                0.76377,                 1.2331,                0.92367,                0.00333,                      1,                0.87192,                0.69276,                0.86277,                 3.0865,                0.84275,               0.042236,              0.0042358,              0.0042358
                      9,                0.73756,                 1.0974,                0.86626,                0.00333,                      1,                   0.92,                0.82531,                0.71272,                 3.0804,                0.85334,               0.035441,              0.0044408,              0.0044408
                     10,                0.79331,                 1.0954,                0.88602,                      1,                0.36528,                  0.995,                0.74582,                0.88131,                 2.9001,                0.86574,                0.02859,              0.0045904,              0.0045904
                     11,                0.74185,                 1.0441,                0.89256,                      1,                0.56567,                  0.995,                0.76761,                0.93293,                 2.7727,                0.85997,               0.021685,              0.0046845,              0.0046845
                     12,                0.80555,                 1.1604,                0.96231,                0.94153,                      1,                  0.995,                0.83827,                0.60492,                 2.2615,                0.84464,               0.014723,              0.0047232,              0.0047232
                     13,                0.76014,                 1.0559,                0.90733,                0.00599,                      1,                  0.995,                0.82237,                0.65946,                 2.4659,                0.84587,              0.0077064,              0.0047064,              0.0047064
                     14,                0.75026,                 1.0572,                0.88775,                0.97313,                      1,                  0.995,                0.77987,                0.85894,                 2.2319,                0.88434,               0.004456,               0.004456,               0.004456
                     15,                0.71949,                 1.0634,                0.89387,                0.96635,                      1,                  0.995,                0.84087,                0.74951,                 1.7924,                0.87485,               0.004456,               0.004456,               0.004456
                     16,                0.72503,                 1.0112,                0.87783,                0.95616,                      1,                  0.995,                0.84557,                0.60771,                  1.884,                0.85783,                0.00406,                0.00406,                0.00406
                     17,                0.72986,                 1.0447,                0.88031,                0.99127,                      1,                  0.995,                0.81185,                0.65227,                 1.3613,                  0.895,               0.003664,               0.003664,               0.003664
                     18,                0.68442,                 0.9983,                0.87192,                0.98583,                      1,                  0.995,                0.82359,                0.61289,                 1.2571,                0.87258,               0.003268,               0.003268,               0.003268
                     19,                 0.6461,                0.94768,                0.88529,                 0.9816,                      1,                  0.995,                0.77793,                0.74811,                 1.3114,                0.88115,               0.002872,               0.002872,               0.002872
                     20,                 0.6168,                0.93895,                0.84097,                0.98665,                      1,                  0.995,                0.76407,                0.76596,                 1.0507,                0.89545,               0.002476,               0.002476,               0.002476
                     21,                0.65004,                0.88698,                0.83423,                0.98797,                      1,                  0.995,                0.76405,                0.75623,                  1.029,                0.88661,                0.00208,                0.00208,                0.00208
                     22,                0.62428,                0.88841,                0.86147,                0.99037,                      1,                  0.995,                0.81187,                0.68033,                 1.0073,                0.87836,               0.001684,               0.001684,               0.001684
                     23,                0.61397,                0.87972,                0.84226,                0.98977,                      1,                  0.995,                0.77199,                 0.7574,                0.95403,                0.88049,               0.001288,               0.001288,               0.001288
                     24,                0.60402,                0.84306,                0.83986,                0.98854,                      1,                  0.995,                0.78391,                0.73992,                0.91804,                0.87899,               0.000892,               0.000892,               0.000892
